J szám,DÁTUM,CÉGNÉV,CÍM,ÜGYFÉL NEVE,MUNKASZÁM,eszköz,Gyáriszám,HIBAJELENSÉG,ELKÉSZÜLÉS ,NYITOTT - 1 LEZÁRT  - 0,MUNKAÓRA,DOLGOZÓ,VÉGZETT MUNKA,FELHASZNÁLT ANYAG,"
JAVÍTÁS HELYE
1-GYÁRTÁS
2-SZÉV
3-EGYÉB",MEGJEGYZÉS,"Javított egység beépítési
helye",Szervízlap száma,Egyéb információk,
J00258,2021/06/21,NCT (TAKSONY),Taksony,üzem,M20138,DAC-20/40-LT,43C-13-6044,D-subnál megszakadt a menet ,2021/07/13/,0,"1,00",Dévai,dsub anya csere,,,,,,,
J00259,2021/06/23,NCT (TAKSONY),Taksony,üzem,M20121,"19"" monitor",21394-0340,usb csatlakozás nem jó,,1,,,,,,,,,,
J00260,2021/06/28,NCT (TAKSONY),Taksony,üzem,M20160,"19"" billentyűzet",219-30-0347,Cancel gomb hibás,,1,,,,,,,,,,
J00261,2021/06/29,NCT (TAKSONY),Taksony,üzem,M19008,DSC-10/20-LE,42B-11-5833,nem indul el,2021/07/14/,0,"1,00",Dévai,hiba nem jel.,,,,,,,
J00262,2021/07/08,NCT (TAKSONY),Taksony,üzem,M20152,SENS kártya,008-10-0012,ethercat kommunikációs hiba,,1,,,,,,,,,,
J00263,2021/07/14,NCT (TAKSONY),Taksony,üzem,M19073,3xUSB,,legfelső nem működik,,1,,,,,,,,,,
J00264,2021/07/16,NCT (TAKSONY),Taksony,üzem,M18246,PRC-3-40-80-R,57C-11-3729,"hibajelzés a 7 szegmenses kijelzőn,üzemkézség jel is megszűnik",,0,"2,00",Csabai,szűrő kondenzátorok cseréje,,,,,,,
J00265,2021/07/16,NCT (TAKSONY),Taksony,üzem,M15023,DAC-10/20-LT,43B-13-5566,"bevizsgálni,nincs rajta hibajelenség",2021/08/30/,0,"1,00",Dévai,hiba nem jel,,,ez 04.08-án már 1x bejött átvizsgálásra szériahiba miatt!,,,,
J00266,2021/07/19,NCT (TAKSONY),Taksony,üzem,M19073,DAC-40/80-LT,43E-13-5711,időnként CPU reset INIT állapotba kerül,,0,"1,00",Csabsi,DCU csere,,,,,,,
J00267,2021/07/19,NCT (TAKSONY),Taksony,üzem,M20144,Ai15,D05-10-9640,eldobja a pozíciót,,1,,,,,,leérkezett logisztikára 08.26 -> vissza Gerihez felirattal (?),,,,
J00268,2021/07/20,NCT (TAKSONY),Taksony,üzem,M20077,DSC 10/20-LE,42B-11-5885,emailben megy a hibaleírás Szegedi Petitől,2021/08/30/,0,"1,00",Dévai,"rev8 és 414-es védet parammal átírták 331-re, szoftver csere",,,,,,,
J00269,2021/07/21,NCT (TAKSONY),Taksony,üzem,M19168,DSC 10/20-RE,42B-12-5538,"reggeli indításkor gyakran ""w""hajtás túlfeszültség hibával indul",2021/08/26/,0,"1,00",Dévai,hiba nem jel.,leérkezett logisztikára 08.26,,,,,,
J00270,2021/07/22,NCT (TAKSONY),Taksony,üzem,M20117,AiB8,F04-10-9691,ref. pontot elveszti,,1,,,,,,,,,,
J00271,2021/07/22,NCT (TAKSONY),Taksony,üzem,M20117,DSC 10/20-RE,42B-12-6046,ref. pontot elveszti,2021/08/26/,0,"1,00",Dévai,hiba nem jel.,,,leérkezett logisztikára 08.26,,,,
J00272,2021/07/23,NCT (TAKSONY),Taksony,üzem,M20171,IHDW,,"zöld, sárga vezeték fordítva forrasztva",,1,,,,,,,,,,
J00273,2021/07/23,NCT (TAKSONY),Taksony,üzem,M21010,AiB28,F0E-10-9779,remeg forgatás közben,,1,,,,,,,,,,
J00274,2021/07/26,NCT (TAKSONY),Taksony,üzem,M21061,40-00010687-00 DPU1504,19354-0138,5 mp után leáll a vezérlő,,1,,,,,,,,,,
J00275,2021/07/29,NCT (TAKSONY),Taksony,üzem,M19007,DSC 10/20-LE,42B-11-5800,nem jön át a 24V,2021/08/30/,0,"1,00",Dévai,hiba nem jel,,,,,,,
J00276,2021/07/30,NCT (TAKSONY),Taksony,üzem,M21057,EPU-SIS,100-30-1069,gyakran megszakad az ECAT kapcsolat az eszközzel,,1,,,,,,,,,,
J00277,2021/07/30,NCT (TAKSONY),Taksony,üzem,élesztéshez,EPU-SIS,100-30-1157,"ha a kimeneti ECAT portra van az eszköz kapcsolva, nincs ECAT kommunikáció",,1,,,,,,,,,,
J00278,2021/07/30,NCT (TAKSONY),Taksony,üzem,M19007,Ai2.5 Z3,DA1-10-9411,jeladóhiba,,1,,,,,,,,,,
J00279,2021/08/23,NCT (TAKSONY),Taksony,üzem,M21130,DSC 10/20-RE,42B-12-6263,üzemkézség hiba,2021/08/30/,0,"1,00",Dévai,hiba nem jel,,,,,,,
J00280,2021/08/23,NCT (TAKSONY),Taksony,üzem,M19105,PRC-3-40-80-R,57C-11-3764,tápegység hiba,,0,"2,00",Csabai,"hibát nem találtam, átadva labornak",,,,,,,
J00281,2021/08/23,NCT (TAKSONY),Taksony,üzem,M20141,DAC 10/20-LT,43B-13-6139,fülecske letört,2021/08/30/,0,"1,00",Dévai,fül csere,,,,,,,
J00282,2021/08/31,NCT (TAKSONY),Taksony,üzem,M20139,AiB8,F04-10-9764,>1h kikapcsolt állapot után elveszti a referenciát (V.Zsombor),,1,,,,,,,,,,
J00283,2021/09/06,NCT (TAKSONY),Taksony,üzem,,DA-48/72 D,7233,ellenőrzésre,,0,"1,00",Kovács I.,"FW frissítés, ventik cseréje. Hibát nem tap.","Ventik:1x120x120, 1x 92x92",,Vissza SZÉV,,,,
J00284,2021/09/06,NCT (TAKSONY),Taksony,üzem,,DPB-3-40-80,2419,ellenőrzésre,,0,"1,00",Kovács I.,"Venti csere, átvizsgálás, hibát nem tap.",Venti: 1x 92x92,,Vissza SZÉV,,,,
J00285,2021/09/06,NCT (TAKSONY),Taksony,üzem,,DS-18/36 EE,E0540,ellenőrzésre,09/14/2021,0,"1,00",Kovács I.,"SW frissítés, hibát nem tap.DCU kondizás. labornak átadva.",,,Vissza SZÉV,,,,
J00286,2021/09/06,NCT (TAKSONY),Taksony,üzem,,DS-12/24 EE,E0514,ellenőrzésre,09/14/2021,0,"1,00",Kovács I.,"SW frissítés, hibát nem tap.DCU kondizás. labornak átadva.",,,Vissza SZÉV,,,,
J00287,2021/09/06,NCT (TAKSONY),Taksony,üzem,,UPS,0113,ellenőrzésre,09/14/2021,0,"1,00",Kovács I.,Akku + akku kábel csere,Akku PS7-12,,Vissza SZÉV,,,,
J00288,2021/09/06,NCT (TAKSONY),Taksony,üzem,,DI-8/12 D,7270,ellenőrzésre,,0,"1,00",Kovács I.,"Átv., teszt. Hibát nem tap.",,,Vissza SZÉV,,,,
J00289,2021/09/06,NCT (TAKSONY),Taksony,üzem,,iPS,1606,ellenőrzésre,,0,,Kovács I.,"ellenőrzés, hiba nincs",,,Vissza SZÉV,,,,
J00290,2021/09/09,NCT (TAKSONY),Taksony,üzem,M21042,DSC 20/40-LE,42C-11-6306,szalagkábel fülecske letört,2021/09/20/,0,"1,00",Dévai,LVDS ház csere,,,,,,,
J00291,2021/09/15,NCT (TAKSONY),Taksony,üzem,M21130,üzem,57C-11-3777,főtáp hiba,,1,,,,,,,,,,
J00292,2021/09/15,NCT (TAKSONY),Taksony,üzem,M20171,DSC 20/40-RE,42C-12-6137,"néha induláskor jeladóhibát jelez, újraindításra eltűnik",,1,,,,,,,,,,
J00293,2021/09/21,NCT (TAKSONY),Taksony,üzem,M21023,EPU-SIS,100-30-1151,NV RAM hiba elvették az M21024-től,,,,,,,,,,,,
J00294,2021/09/23,NCT (TAKSONY),Taksony,üzem,M13205,Ai70 Z1,D8A-10-7119,tengely nem forog ,,1,,,,,,,,,,
J00295,2021/09/27,NCT (TAKSONY),Taksony,üzem,M18324,SGMGH-44ACA6E AC servo motor/EBI1135 jeladó,BB0067294000004,ellenőrzés,,0,"0,50",Rákosréti József,ellenőrzés OK,,,Vissza SZÉV,,,,
J00296,2021/09/29,NCT (TAKSONY),Taksony,üzem,M20119,AiB8,F04-10-9793,ref. elvesztése,,1,,,,,,,,,,
J00297,2021/10/04,NCT (TAKSONY),Taksony,üzem,M20006,DAC-40/80-LT,43E-13-5712,"alapjel van, motor nem megy",,1,,,,,,,,,,
J00298,2021/10/11,NCT (TAKSONY),Taksony,üzem,M21140,DPU1904,21394-0374,"nem Boot-ol , nem látja az SSD-t",,1,,,,,,,,,,
J00299,2021/10/20,NCT (TAKSONY),Taksony,üzem,M20153,I16S kártya,005-10-0394,gyűjti a PHYS hibákat,,0,"1,00",Petró F,nem tap. ET1200 átforr. rázató teszt oké,,,,,,,
J00300,2021/10/20,NCT (TAKSONY),Taksony,üzem,M21062,DSC 10/20-LE,42B-11-5415,bekapcsoláskor inicializáció hiba,,1,,,,,,,,,,
J00301,2021/10/21,NCT (TAKSONY),Taksony,üzem,M20141,DAC-20/40 LT,43C-13-5988,"járatás során a motor megáll. annak ellenére,hogy az engedélyezés, ill az alapjel kint volt. Nem állandó hiba,egyszer jó egyszer nem (Szegedi P.)",,1,,,,,,,,,,
J00302,2021/11/16,NCT (TAKSONY),Taksony,üzem,M20011,EPU-SIS,100-30-1126,"NV RAM , beültetés hiba (Bene Alex)",,0,"0,50",Schmiedmeiszter László,"Hibát nem találtam, további teszt",,,,,,,
J00303,2021/11/18,NCT (TAKSONY),Taksony,üzem,M21049,EPU-SIS,100-30-1157,"NV RAM , beültetés hiba (Szegedi Peti)",,0,"1,00",Schmiedmeiszter László,ET1100 csere,,,,,,,
J00304,2021/11/18,NCT (TAKSONY),Taksony,üzem,M20010,IHDW,,Vészkör hiba (Bene Alex),,0,"2,00",Schmiedmeiszter László,"iHDW belső nyák és csatlakozó elégett, másik kártya , csati beépítése",,,,,,,
J00305,2021/11/18,NCT (TAKSONY),Taksony,üzem,M20011,IPS2,607-10-1124,Főkapcsolós bekapcsolásnál rövidzár (Bene Alex),,1,,,,,,,,,,
J00306,2021/11/18,NCT (TAKSONY),Taksony,üzem,M21068,DSC-20/40 LE,42C-11-6372,Túláram hiba(üzemkészség hiba) Szabados Gy.,,0,"1,00",Dévai,"laborteszt, hiba nem jel.",,,,,,,
J00307,2021/11/18,NCT (TAKSONY),Taksony,üzem,M20010,DSC-20/40-LE,42C-11-6239,"x3,x4 szalagkábel sérült, elveszti a kommunikációt (Bene Alex)",2021/11/22/,0,"1,00",Dévai,csatlakozónak semmi baja. teszt ok.,,,,,,,
J00308,2021/11/19,NCT (TAKSONY),Taksony,üzem,M20005,DSC-10/20-LE,42B-11-5377,bal alsó csavar megszakadt,,0,"1,00",Dévai,fedél csere,,,,,,,
J00309,2021/11/22,NCT (TAKSONY),Taksony,üzem,M20005,DAC-20/40 LT,43C-13-5310,szalagkábel fülecske eltört,,0,"1,00",Dévai,fül csere,,,,,,,
J00310,2021/11/26,NCT (TAKSONY),Taksony,üzem,,Indramat MOD14/1X019-094,912401,ellenőrzésre,,1,,,,,,Vissza SZÉV,,,,
J00311,2021/11/26,NCT (TAKSONY),Taksony,üzem,,Indramat KDV 22-100-220/300-22,234691-00944,ellenőrzésre,,1,,,,,,Vissza SZÉV,,,,
J00312,2021/11/30,NCT (TAKSONY),Taksony,üzem,M21075,EPU-SIS,100-30-1151,NV RAM hiba (Szabados Gy.),,1,,,,,,,,,,
J00313,2021/12/06,NCT (TAKSONY),Taksony,üzem,M21061,TTLCAN,012-30-0413,S1 ethercat hiba ,,1,,,,,,,,,,
J00314,2021/12/06,NCT (TAKSONY),Taksony,üzem,M21061,2EXE501,192501-0340,"a kártyák egyikénél, vagy mindkettőnél hibás az átkapcsolás (Szegedi Peti)",,0,"0,50",Petró Ferenc,"Tesztelés ellenőrzés, Hibátlan",,,,,,,
J00315,2021/12/07,NCT (TAKSONY),Taksony,üzem,M20005,MK1904,219-30-0414,"2 gomb nem működik, meg vannak jelölve (Gyéresi)",,1,,,,,,,,,,
J00316,2021/12/13,NCT (TAKSONY),Taksony,üzem,M21077,O8RC,034-10-2072,6-os relé rossz,,1,,,,,,Vissza ÜF,,,,
J00317,2022/01/24,NCT (TAKSONY),Taksony,üzem,M20120,EPU-SIS,100-30-0878,"Ethercat leállást okoz,elveszett keretek / PHYS/FRAME hibák(Szegedi P)",,1,,,,,,,,,,
J00318,2022/01/28,NCT (TAKSONY),Taksony,üzem,M21237,NCT115 monitor,10 115 074,ellenőrzés,,0,"1,00",Kovács I.,"Átv., hibát nem tap.",,,Vissza SZÉV,,,,
J00319,2022/01/28,NCT (TAKSONY),Taksony,üzem,M21237,NCT115 kezelőpanel,1533-10-1076,ellenőrzés,,0,"1,00",Turpi,"Átvizsgálás, tisztítás.",,,Vissza SZÉV,,,,
J00320,2022/02/01,NCT (TAKSONY),Taksony,üzem,M21063,DSC 20/40-LE,42C-11-6239,ethercat hiba,2022/02/04/,0,"1,00",Dévai,"lvds CSERE, nem vizsgáltuk.",,,,,,,
J00321,2022/02/03,NCT (TAKSONY),Taksony,üzem,M21054,DSC-20/40-RE,42C-12-6419,nem működik,2022/02/07/,0,"1,00",Dévai,forgács volt beleesve,,,,,,,
J00322,2022/02/08,NCT (TAKSONY),Taksony,üzem,M21054,Ai28,D07-10-9754,Ref vesztés (SzabadosGy.),,1,,,,,,,,,,
J00323,2022/02/10,NCT (TAKSONY),Taksony,üzem,M21042,DSC-20/40-LE,42C-11-6314,feszültség hatására nem adja ki az engedélyező jelet,,0,"1,00",Dévai,"DCU  lebontva, többi felhasználva",,,,,,,
J00324,2022/02/10,NCT (TAKSONY),Taksony,üzem,M21150,EPU-SIS,100-30-1219,ethercat nem kommunikál,,1,,,,,,,,,,
J00325,2022/02/14,NCT (TAKSONY),Taksony,üzem,M20120,"19""vezérlő klaviatúra",219-30-0332,bal oldali gombok közül a második sor első nem működik(Szegedi Peti),,1,,,,,,,,,,
J00326,2022/02/15,NCT (TAKSONY),Taksony,üzem,M21092,DSC-40/80 LE,42D-11-5630,reggeli bekapcsoláskor túláram hiba(Reskó G.),,1,,,,,,,,,,
J00327,2022/02/15,NCT (TAKSONY),Taksony,üzem,Tajmac,DSC-20/40-LE,42C-11-6306,Bootolásnál lefagyott,,0,"1,00",Dévai,újraprogramozás,,,,,,,
J00328,2022/02/18,NCT (TAKSONY),Taksony,üzem,M21054,AiS 100,CC2-10-5119,"Forgóátvezető menete üt, nem lehet kiállítani",,1,,,,,,,,,,
J00329,2022/02/23,NCT (TAKSONY),Taksony,üzem,M20119,DAC 60/120-RE,43F-12-6105,orsó üzemkézség hiba,,1,,,,,,,,,,
J00330,2022/03/04,NCT (TAKSONY),Taksony,üzem,M21074,Ai28,D07-10-9900,jeladó hiba(Szabados Gyuri),,1,,,,,,,,,,
J00331,2022/03/24,NCT (TAKSONY),Taksony,üzem,M21153,MK1904,219-30-0443,gyorsmenet gomb villog,,1,,,,,,,,,,
J00332,2022/04/01,NCT (TAKSONY),Taksony,üzem,M21187,IPS2,607-10-1202,X3-ra nem ad feszültséget,,1,,,,,,,,,,
J00333,2022/04/01,NCT (TAKSONY),Taksony,üzem,M21001,DSC-10/20-LE,42B-11-6183,VKC HIBA 10-20perc működés után,,1,,,,,,,,,,
J00334,2022/04/07,NCT (TAKSONY),Taksony,üzem,M21209,EPU-SIS,100-30-1258,NV RAM hiba,,0,"1,00",Petro Ferenc,,,,,,,,
J00335,2022/04/07,NCT (TAKSONY),Taksony,üzem,M21187,MK1904 (klaviatúra),219-30-0450,"sérült , leesett",,0,"1,00",Schmiedmeiszter László,"Klaviatúrán INOX tisztítóval az olaj eltávolítása, törött kulcsos kapcsoló cseréje",1db kulcsos kapcsoló,,,,,,
J00336,2022/04/20,NCT (TAKSONY),Taksony,üzem,M21198,IHDW kábel,nincs,"OFF állás nem működik, kábelhiba(Bene Alex)",,0,"0,50",Schmiedmeiszter László,hibát nem tapasztaltam,,,,,,,
J00337,2022/04/26,NCT (TAKSONY),Taksony,üzem,M21197,DSC-10/20-LE,42B-11-6639,jeladó hiba(Szabados Gy.),2022/05/16/,0,"1,00",Dévai,jeladócsatlakozót cseélni kell,,,,,,,
J00338,2022/04/27,NCT (TAKSONY),Taksony,üzem,M21129,A3Z2,994-10-9192,jeladó hiba(Szabados Gy.),,1,,,,,,,,,,
J00339,2022/04/27,NCT (TAKSONY),Taksony,üzem,M20177,A3Z2,994-10-9743,jeladó hiba(Szabados Gy.),,1,,,,,,,,,,
J00340,2022/05/02,NCT (TAKSONY),Taksony,Póka Gery,,DSC-10/20 LE,42B-11-6367,letört az LVDS csati (kiállításos),,0,"1,00",Kovács I.,LVDS csatik cseréje.,2x LVDS aljzat.,,Vissza ÜF,,,,
J00341,2022/05/09,NCT (TAKSONY),Taksony,üzem,M15013,DS-18/36-EE,424-10-2730,jeladóhiba,,1,,,,,,,,,,
J00342,2022/05/10,NCT (TAKSONY),Taksony,üzem,M21167,DSC-10/20-LE,42B-11-6629,szalagkábel fület letörték,2022/06/10/,0,"1,00",Dévai,csatl. Ház csere,,,,,,,
J00343,2022/05/27,NCT (TAKSONY),Taksony,üzem,M21071,DSC-20/40 LE,42C-11-6479,jeladó hiba (Szabados Gy.),2022/09/27/,0,"1,00",Dévai,"hiba nem jel, ujraprog",,,,,,,
J00344,2022/06/03,NCT (TAKSONY),Taksony,üzem,M21167,DSC-20/40 LE,42C-11-6641,jeladó nem működik,2022/09/22/,0,"1,00",Dévai,"fals ECat rev.number: : 20A, 08 helyett",,,,,,,
J00345,2022/06/03,NCT (TAKSONY),Taksony,üzem,M20048,"15"" vezérlő",,a technológiai kikapcsolás relé nem működik(Fábián I.),,1,,,,,,,,,,
J00346,2022/06/15,NCT (TAKSONY),Taksony,üzem,M21070,Ai28,D07-10-9899,jeladóhiba(Szabados Gy.),,1,,,,,,,,,,
J00347,2022/06/16,NCT (TAKSONY),Taksony,???,???,O32C,00F-37-0068,???,,0,"1,00",Schmiedmeiszter László,OK,,,???,,,,
J00348,2022/06/16,NCT (TAKSONY),Taksony,???,???,I32C,00E-37-0114,???,,0,"1,00",Schmiedmeiszter László,OK,,,???,,,,
J00349,2022/06/20,NCT (TAKSONY),Taksony,üzem,M21133,PRC-3-40-80-R,57C-11-3657,6000 fordulaton működő főorsó és tengelyek járatása középen(hullámmarás) tápegység hibát jelez,,1,,,,,,,,,,
J00350,2022/06/20,NCT (TAKSONY),Taksony,üzem,M13205,KB2ECAT kártya,3-3-492,rossz a kézikerék fogadó,,0,"1,00",Schmiedmeiszter László,IC csere,74LVC14 IC,,,,,,
J00351,2022/06/21,NCT (TAKSONY),Taksony,üzem,M21072,DSC-20/40-LE,42C-11-6540,nagy az áramfelvétele,,0,"1,00",Dévai,"hibás epromadat, (rev A20, 08 helyett)",,,,,,,
J00352,2022/07/15,NCT (TAKSONY),Taksony,üzem,M20166,IPS2,607-10-1202,X3 kimenet nem működik,2022/07/21/,0,"1,00",Lovász,IRF740 FET 2 db,,,,,,,
J00353,2022/07/15,NCT (TAKSONY),Taksony,üzem,M20166,Ai50 (W motor),meg fel van szerelve,jeladó hiba,,,,,,,,,,,,
J00354,2022/07/22,NCT (TAKSONY),Taksony,üzem,M20166,Ai50,D08-10-8968,jeladóhiba,,,,,,"2db 40x40 venti, 2200/35V, 470/25V",,,,,,
J00355,2022/07/25,NCT (TAKSONY),Taksony,üzem,M21194,IPS2,607-10-1211,lóg a hátfala,,,,,,,,,,,,
J00356,2022/08/01,NCT (TAKSONY),Taksony,üzem,M21047,ENDAT kártya,013-20-0447,B csatorna nem jó ,,0,"1,00",Petró F,"hiba tap, IC8 2láb forr hiba, újraforr után teszt oké",,,,,,,
J00357,2022/08/04,NCT (TAKSONY),Taksony,üzem,M21133,DSC-20/40-RE,42C-12-5574,"bekapcsolásra X hajtásnál túlfeszültség hiba, X hajtás nem üzemkész",2022/09/27/,0,"1,00",Dévai,"hiba nem jel, újraprogr, labor",,,,,,,
J00358,2022/08/10,NCT (TAKSONY),Taksony,üzem,M22116,MK1504,215-30-0189,kulcsos kapcsoló hiba (Szabados Gy.),,,,,,,,,,,,
J00359,2022/08/15,NCT (TAKSONY),Taksony,üzem,,MK1504,215-30-0189,hibás,,1,,,,,,???,,,,
J00360,2022/08/29,NCT (TAKSONY),Taksony,üzem,M20166,IPS2,607-10-1236,elpukkant ,2022/09/05/,0,"2,00",Lovász,F panel csere,,,,,,,
J00361,2022/08/31,NCT (TAKSONY),Taksony,üzem,M21173,PDC-3-40-24R,579-11-3951,fékezésnél hiba,,0,"2,00",Lovász,"dióda cseer, alaplemez csere (beszakadt csavar)",,,,,,,
J00362,2022/08/31,NCT (TAKSONY),Taksony,üzem,M21173,O8RC kártya,034-10-2145,24V tápadás után ethercat hiba,,0,"2,00",Petró F.,"mechanikai behatásra, időszakosan zárlatos a 25MHz kvarc, teszt rázás oké",1db 25MHz kvarc,,,,,,
J00363,2022/09/05,NCT (TAKSONY),Taksony,üzem,M13199,IPS1,157,"bevizsgálni , újraindul",2022/09/05/,0,"1,00",Lovász,Hiba nem jelentkezett,,,,,,,
T-J00364,2023/05/12,NCT(TAKSONY),Taksony,üzem,M21196,DAC-20/40-LT,43C-13-6822,"TTL jeladó bemenet rossz, nem számolja az impulzusokat(Reskó G.)",,,,,,,,,,,1,
T-J00365,2022/09/05,NCT (TAKSONY),Taksony,üzem,M21262,ECAT-ENDAT,013-20-0439,a rácsatlakoztatott kábel nem érzékeli,2022/09/06/,0,"1,00",Petró F.,"nem érzékelte a jeladókat, táp Ic hiba, IC9 átforr után oké",,,,,,,
T-J00366,2022/09/05,NCT (TAKSONY),Taksony,üzem,M21262,PRC-3-40-80,57C-11-3994,"ecat hiba, gép bekapcsolás kérésére megszakad az eszköz. (Bene A.)",2022/09/27/,0,"1,00",Csabai,Trafó alá szigetelés beép,,,,,,,
T-J00367,2022/09/07,NCT (TAKSONY),Taksony,üzem,M21195,"19"" vezérlő",22394-0489,windows nem működik (szegedi P.),,,,,,,,M21253-ra kérik a javított kijelző pótlását.,,,,
T-J00368,2022/09/14,NCT (TAKSONY),Taksony,üzem,M21195,DAC-40/80-LE,43D-11-6787,motor indításnál ethercat hiba(Szegedi P.),2022/09/20/,0,,laborban,Hiba nem jelentkezett,,,,,,,
T-J00369,2022/09/16,NCT (TAKSONY),Taksony,üzem,M21253,DSC-10/20-LE,42B-11-6839,szalagkábel fülecske letört,2022/09/21/,0,"1,00",Dévai,csatl.ház csere,,,,,,,
T-J00370,2022/09/26,NCT (FOGARASI),Taksony,üzem,M20180,PRC-3-40-80-R,57C-11-3852,Hibakeresés - nem kaptunk infót a hibáról (Szabó Bertold),2022.09.28,0,"1,00",Csabai,"hiba nem jel, laborteszt",,1,Vissza LOG,,,,
T-J00371,2022/09/26,NCT (FOGARASI),Taksony,üzem,M20050,DSC-10/20-LE,42B-A1-6788,"Taksonyból beküldték, nem tudjuk a hibát illetve, hogy van-e hibája...""mosógépes igbt-s""",2022/10/14/,0,"1,00",Dévai,"DCU csere, új számmal vissza (sn: 7041)",,1,?,,,,
T-J00372,2022/10/05,NCT (TAKSONY),Taksony,üzem,M20166,Ai50Z1/E,D88-10-9844,"elfelejti a pozíciót, referencia hiba",2022/10/07,0,"0,50",Rákosréti József,"jeladókábel cseréje, teszt",1 db jeladókábel,1,Vissza Logisztika,,,,
T-J00373,2022/12/06,NCT(TAKSONY),Taksony,üzem,,DSC-10/20-LE,42B-11-6849,visszaszállítás során letört a sz.kábel csatlakozója,,0,"1,00",Dévai,csatl ház csere,,1,vissza késztermék raktárba,,,,
T-J00374,2022/10/20,NCT (TAKSONY),Taksony,üzem,M21116,O8RC,034-10-1896,letörték a fülecskét,,0,"0,50",Petró F.,LVDS csatlakozó csere,1db LVDS csatlakozó,1,"kapott cserét, mehet vissza a polcra",,,,
T-J00375,2022/10/25,NCT(TAKSONY),Taksony,üzem,M21047,IPS2,607-10-1184,"Kap betápot, de nem kapcsol be.Előtte heteket, hónapokat ment. Szegedi Peti",2022/11/14/,0,"1,00",Lovász,2db 100uF 400V kondi csere,,1,javítás után vissza késztermék raktárra,,,,
T-J00376,2022/10/25,NCT(TAKSONY),Taksony,üzem,M14224,DIPS,772-10-2806,nem kapcsol be,,1,,,,,2,javítás után vissza használt termék raktárba,,,,
T-J00377,2022/11/14,NCT(TAKSONY),Taksony,üzem,M20011,EPU-SYS,100-30-1221,NV RAM hiba (Bene Alex),,1,,,,,1,,,,,
T-J00378,2022/11/16,NCT(TAKSONY),Taksony,SBS,M22052,PRC-3-40-80,57C-11-4003,nem indul el (Molnár Sz.),,0,"1,00",Csabai,hiba nem jelentkezett betéve laborba,,1,,,,,
T-J00379,2022/11/17,NCT(TAKSONY),Taksony,üzem,M22056,Ai8Z1,D84-11-9872,nagy az áramfelvétele (MolnárSz),2022/11/18/,0,"0,50",Rákosréti József,"két fázis fel volt cserélve, U-V csere, teszt",,1,,,,,
T-J00380,2022/11/18,NCT(TAKSONY),Taksony,üzem,M22074,DPU1904,22394-0501,feszül a vezérlő(bővebb infó Molnár Sz.),,1,,,,,1,,,,,
T-J00381,2022/11/18,NCT(TAKSONY),Taksony,üzem,M22154,VM100L,2106077H1,leégett motor ,,,,,,,,,,,,
T-J00382,2022/11/23,NCT(TAKSONY),Taksony,üzem,M21262,AiS100,CC2-10-5101,hátsó csapágy rossz (Molnár Sz.),,1,,Rákosréti József,laborban tesztelve végig határáérték alatt maradt a rezgés,,1,,,,,
T-J00383,2022/11.23,NCT(TAKSONY),Taksony,üzem,M13244,MK1904,219-30-0464,Kiss Józsinak küldte be Reskó Gabi vizsgálatra. ,,1,,,,,3,Kiss Józsinak átadva,,,,
T-J00384,2022/12/08,NCT(TAKSONY),Taksony,üzem,M22154,DSC-10/20-LE,42B-11-5415,"inicializálási hiba, INIT állapotban ragadt, RUN led nem világít.(Reskó G.)",,0,"1,00",Dévai,"többször jött viszza, itt nem jel, bontásra",,1,,,,,
T-J00385,2023/01/31,NCT(TAKSONY),Taksony,üzem,M21174,DSC-10/20-LE,42B-11-7056,kondenzátor szikrázik(Szabados Gy.),,0,"2,00",Dévai,"leégett, lebontva",,1,,,,,
T-J00386,2022/11/28,NCT(TAKSONY),Taksony,üzem,M22056,IPS2,607-10-1211,2. csatorna zárlatra megy,2022/12/08/,0,"1,00",Lovász,hiba nem jel.,,1,,,,,
T-J00387,2023/01/31,NCT(TAKSONY),Taksony,üzem,M21174,DSC-10/20-LE,42B-11-7055,IGBT hiba(Szabados Gy.),2022/02/08,0,"1,00",Dévai,hiba nem jel. teszt ok,,1,,,,,
T-J00388,2022/12/05,NCT(TAKSONY),Taksony,üzem,M22056,O8RC,034-10-2296,"érintkezés hiba, vagy illesztési probléma",,1,,,,,1,,,,,
T-J00389,2023/03/31,NCT(TAKSONY),Taksony,üzem,M18040,DSC-10/20-LE,42B-11-4581,hőszenzor hibás,,,,,,,,,,,,
T-J00390,2022/11/28,NCT(TAKSONY),Taksony,üzem,M22154,DSC-20/40-LE,42C-11-6988,Állandó hajtás üzemkészség hiba(Klötz Arnold),,0,"1,00",Dévai,szalagkábel csere,,1,,,,,
T-J00391,2022/12/08,NCT(TAKSONY),Taksony,üzem,M20185,MK1904,219-30-0349,X gomb nem működik(Szegedi P.),,0,"1,00",Schmiedmeiszter László,eltőrt dióda csere,1N4148  dióda,1,,,,,
T-J00392,2023/01/11,NCT(TAKSONY),Taksony,üzem,M13244,PDC-3-40-24-R,579-11-3875,"IGBT hiba,kijelzőn ""P"" (Reskó G)",,,,,,,1,,,,,
T-J00393,2023/01/11,NCT(TAKSONY),Taksony,üzem,M21086,DAC-40/80-LE,43D-11-7071,Ethercat hiba(Fábián P.),2023/03/28/,0,"1,00",Csabai József,Ellenőrzés,,1,,,,,
